単語, SVL, 回数
brandy, 4, 4
bother, 4, 61
breakdown, 4, 48
brass, 4, 18
breeze, 4, 20
bride, 4, 14
brief, 4, 285
briefcase, 4, 4
briefly, 4, 134
bud, 4, 44
bulldozer, 4, 1
budget, 4, 725
butcher, 4, 22
burden, 4, 120
buyer, 4, 218
cabin, 4, 43
cabinet, 4, 303
calculate, 4, 385
camel, 4, 5
campaign, 4, 1315
canal, 4, 71
capable, 4, 150
cancer, 4, 372
capacity, 4, 222
capture, 4, 610
cardigan, 4, 3
catalog, 4, 33
cattle, 4, 79
category, 4, 315
caution, 4, 163
characteristic, 4, 45
cement, 4, 59
celery, 4, 2
cave, 4, 66
charity, 4, 230
chef, 4, 39
charm, 4, 42
cheat, 4, 70
cheerleader, 4, 9
chemist, 4, 27
chess, 4, 34
chemistry, 4, 47
chiefly, 4, 18
chew, 4, 21
childish, 4, 3
chill, 4, 40
chop, 4, 26
chosen, 4, 155
Christian, 4, 418
circuit, 4, 103
circumstance, 4, 172
civil, 4, 617
clap, 4, 15
classical, 4, 57
clip, 4, 137
closet, 4, 13
coach, 4, 1538
cock, 4, 5
code, 4, 292
collapse, 4, 369
colony, 4, 45
column, 4, 114
combine, 4, 86
comedy, 4, 418
command, 4, 209
commerce, 4, 228
commission, 4, 615
commit, 4, 541
comparison, 4, 130
competitor, 4, 205
compete, 4, 322
complicated, 4, 157
component, 4, 135
concentrate, 4, 63
composer, 4, 20
compound, 4, 110
concentration, 4, 82
concerned, 4, 358
concerning, 4, 45
conclude, 4, 262
conference, 4, 961
conclusion, 4, 145
confess, 4, 60
confession, 4, 45
confident, 4, 297
conflict, 4, 915
congress, 4, 740
conquer, 4, 27
conscience, 4, 37
consequence, 4, 183
consciousness, 4, 39
consideration, 4, 79
consist, 4, 57
constant, 4, 127
constitution, 4, 275
constantly, 4, 122
construct, 4, 67
construction, 4, 285
container, 4, 65
contest, 4, 261
context, 4, 123
contrary, 4, 75
contribution, 4, 201
contrast, 4, 256
convenience, 4, 42
convention, 4, 89
conventional, 4, 80
convince, 4, 85
cooperation, 4, 286
convinced, 4, 157
cop, 4, 34
cord, 4, 33
corporation, 4, 172
corporate, 4, 303
correctly, 4, 32
cosmos, 4, 13
cottage, 4, 13
countryman, 4, 27
counter, 4, 386
council, 4, 661
county, 4, 689
coward, 4, 24
crawl, 4, 18
craft, 4, 122
creep, 4, 31
crisis, 4, 1067
critical, 4, 335
criticism, 4, 384
criticize, 4, 286
crossing, 4, 106
crossword, 4, 1
crow, 4, 10
cruelty, 4, 30
crystal, 4, 259
cultural, 4, 241
curiosity, 4, 28
current, 4, 1074
curious, 4, 50
cute, 4, 45
cutting, 4, 236
dam, 4, 34
darling, 4, 22
dash, 4, 35
deadly, 4, 443
dealer, 4, 102
debate, 4, 556
debt, 4, 832
decade, 4, 1212
decay, 4, 10
deceive, 4, 14
declare, 4, 495
decline, 4, 900
decorate, 4, 40
deed, 4, 24
definite, 4, 9
define, 4, 169
definitely, 4, 284
delicate, 4, 45
delivery, 4, 204
demonstrate, 4, 242
definition, 4, 96
depart, 4, 81
departure, 4, 133
dependent, 4, 63
descend, 4, 71
deposit, 4, 78
desirable, 4, 22
despair, 4, 31
despite, 4, 1319
dessert, 4, 7
destination, 4, 102
destruction, 4, 133
detailed, 4, 116
detective, 4, 72
determination, 4, 101
determined, 4, 247
developing, 4, 278
differ, 4, 63
digest, 4, 19
digital, 4, 419
disadvantage, 4, 32
disagree, 4, 82
disaster, 4, 206
discipline, 4, 106
discourage, 4, 54
distinct, 4, 44
distinguish, 4, 33
distribute, 4, 466
dive, 4, 78
diver, 4, 80
division, 4, 463
doorbell, 4, 2
doorway, 4, 9
dot, 4, 65
draft, 4, 270
drag, 4, 164
dragon, 4, 76
dressing, 4, 101
dried, 4, 43
drift, 4, 63
drinker, 4, 7
driving, 4, 344
dumb, 4, 12
dusty, 4, 22
echo, 4, 153
edition, 4, 780
dynamic, 4, 46
editor, 4, 428
efficiency, 4, 83
efficient, 4, 126
electrical, 4, 73
elderly, 4, 131
electronic, 4, 154
electrician, 4, 14
emerge, 4, 573
emergency, 4, 385
emotional, 4, 186
emperor, 4, 45
emphasis, 4, 48
emphasize, 4, 124
empire, 4, 121
enable, 4, 206
encounter, 4, 218
enclose, 4, 10
endless, 4, 49
endure, 4, 87
engage, 4, 133
engaged, 4, 139
engagement, 4, 85
enjoyable, 4, 18
enjoyment, 4, 10
enormous, 4, 152
enthusiasm, 4, 97
enterprise, 4, 112
enthusiastic, 4, 35
envy, 4, 18
entry, 4, 153
episode, 4, 269
era, 4, 293
essence, 4, 45
essentially, 4, 181
establishment, 4, 158
estate, 4, 222
estimate, 4, 510
eve, 4, 90
eventually, 4, 443
evident, 4, 63
excess, 4, 67
exhibit, 4, 51
exhibition, 4, 120
existence, 4, 102
existing, 4, 257
expand, 4, 578
expectation, 4, 416
explode, 4, 156
explosion, 4, 210
expose, 4, 200
extension, 4, 84
extend, 4, 290
extent, 4, 150
external, 4, 67
extraordinary, 4, 159
extreme, 4, 227
factor, 4, 390
fade, 4, 56
faint, 4, 21
faithful, 4, 25
fallen, 4, 290
fame, 4, 162
farming, 4, 42
farthest, 4, 1
fasten, 4, 6
fatal, 4, 78
fate, 4, 165
favorable, 4, 39
fearful, 4, 34
fiction, 4, 94
filter, 4, 88
finding, 4, 543
finishing, 4, 123
fist, 4, 40
fitting, 4, 50
flame, 4, 40
flavor, 4, 23
flee, 4, 426
flesh, 4, 26
flying, 4, 336
focus, 4, 1294
forecast, 4, 460
fold, 4, 59
formation, 4, 104
formerly, 4, 55
fort, 4, 67
founder, 4, 432
frankly, 4, 49
freely, 4, 54
frequent, 4, 109
frequently, 4, 155
fried, 4, 16
frontier, 4, 58
frost, 4, 16
fundamental, 4, 119
gallery, 4, 109
gamble, 4, 60
gangster, 4, 7
gay, 4, 206
gardener, 4, 10
generous, 4, 66
genius, 4, 31
gesture, 4, 102
ginger, 4, 1
globe, 4, 248
glory, 4, 79
glow, 4, 27
goddess, 4, 14
goodness, 4, 5
govern, 4, 71
gradual, 4, 21
grain, 4, 57
grasp, 4, 34
grandparent, 4, 24
greedy, 4, 6
grief, 4, 58
grocer, 4, 4
gross, 4, 200
guarantee, 4, 191
guidance, 4, 117
guidebook, 4, 5
guilt, 4, 23
gulf, 4, 211
halfway, 4, 51
handbook, 4, 1
handful, 4, 142
hanging, 4, 84
harmful, 4, 30
harsh, 4, 136
harvest, 4, 43
haste, 4, 5
hatred, 4, 115
heal, 4, 29
healing, 4, 29
heater, 4, 7
heating, 4, 59
heavily, 4, 261
helping, 4, 459
heroic, 4, 22
hesitate, 4, 26
hidden, 4, 131
hiding, 4, 83
hillside, 4, 14
historical, 4, 118
hockey, 4, 77
holding, 4, 488
hollow, 4, 28
homeless, 4, 60
honestly, 4, 40
honesty, 4, 24
honeymoon, 4, 15
hood, 4, 66
hop, 4, 70
horseback, 4, 3
hostess, 4, 2
household, 4, 299
humanity, 4, 176
humble, 4, 75
hunting, 4, 74
hut, 4, 42
identity, 4, 239
idle, 4, 23
ignorance, 4, 15
ignorant, 4, 12
illegal, 4, 283
illustration, 4, 35
imitate, 4, 12
immense, 4, 47
imperial, 4, 18
impose, 4, 327
impressive, 4, 185
impulse, 4, 39
incident, 4, 648
increasingly, 4, 448
independence, 4, 166
indicate, 4, 401
inevitable, 4, 84
infant, 4, 51
inherit, 4, 65
initial, 4, 383
injure, 4, 44
injured, 4, 447
inn, 4, 19
innocent, 4, 101
inspire, 4, 308
instance, 4, 254
instinct, 4, 26
institute, 4, 446
instruct, 4, 48
insult, 4, 119
intellectual, 4, 78
intense, 4, 197
intent, 4, 97
interfere, 4, 52
interior, 4, 296
internal, 4, 180
interpreter, 4, 18
interval, 4, 45
invade, 4, 56
invention, 4, 42
invest, 4, 385
investigate, 4, 459
investigation, 4, 956
investment, 4, 993
invisible, 4, 43
involve, 4, 502
involved, 4, 919
jealousy, 4, 8
jewelry, 4, 32
journalism, 4, 60
joyful, 4, 2
judgment, 4, 64
jumper, 4, 34
justify, 4, 106
keeper, 4, 141
kidnap, 4, 220
kindergarten, 4, 11
kneel, 4, 53
knight, 4, 199
knot, 4, 18
knowing, 4, 138
lace, 4, 21
landscape, 4, 118
latter, 4, 100
laughter, 4, 17
launch, 4, 1199
laundry, 4, 19
leap, 4, 127
layer, 4, 83
learner, 4, 9
legislation, 4, 275
liar, 4, 11
liberal, 4, 178
lifeless, 4, 6
lifelong, 4, 32
lifetime, 4, 146
limb, 4, 23
limited, 4, 370
linen, 4, 2
lipstick, 4, 5
liquid, 4, 69
lively, 4, 28
literary, 4, 32
lobby, 4, 111
locate, 4, 210
lodge, 4, 51
log, 4, 58
logic, 4, 38
luckily, 4, 21
logical, 4, 30
luxury, 4, 177
lying, 4, 101
machinery, 4, 49
madness, 4, 20
magical, 4, 37
magician, 4, 8
magnet, 4, 19
maid, 4, 18
maintenance, 4, 58
making, 4, 1768
manual, 4, 18
manufacture, 4, 71
marble, 4, 19
marine, 4, 122
marked, 4, 171
marvelous, 4, 6
mast, 4, 18
mature, 4, 66
maximum, 4, 116
mayor, 4, 303
meadow, 4, 8
meanwhile, 4, 632
measurement, 4, 69
mechanical, 4, 54
mechanism, 4, 74
medium, 4, 83
mend, 4, 23
mere, 4, 69
mercy, 4, 45
mess, 4, 64
merrily, 4, 1
messenger, 4, 30
mighty, 4, 24
mill, 4, 30
millionaire, 4, 32
minimum, 4, 240
minority, 4, 295
miserable, 4, 27
miracle, 4, 52
misery, 4, 33
mist, 4, 11
mistress, 4, 8
misunderstand, 4, 12
mixed, 4, 161
mode, 4, 111
modest, 4, 117
monitor, 4, 377
muddy, 4, 14
monument, 4, 30
multiply, 4, 28
mutual, 4, 77
nasty, 4, 34
nap, 4, 26
namely, 4, 27
nationality, 4, 68
nearby, 4, 317
necessarily, 4, 155
negotiation, 4, 492
nevertheless, 4, 71
newly, 4, 158
normally, 4, 167
northeast, 4, 176
northwest, 4, 59
notion, 4, 90
nowadays, 4, 32
nuclear, 4, 663
nursing, 4, 31
oak, 4, 12
oasis, 4, 9
obedient, 4, 1
obey, 4, 48
obtain, 4, 213
obviously, 4, 271
occasional, 4, 48
occasionally, 4, 69
oily, 4, 4
occupation, 4, 80
opposition, 4, 768
openly, 4, 81
organize, 4, 93
origin, 4, 123
originally, 4, 376
outcome, 4, 195
outdoors, 4, 13
outer, 4, 34
outline, 4, 110
output, 4, 173
outstanding, 4, 169
outward, 4, 12
overall, 4, 489
overcome, 4, 168
overlook, 4, 75
overseas, 4, 304
owl, 4, 21
ox, 4, 2
oxygen, 4, 38
packet, 4, 14
panel, 4, 305
paragraph, 4, 24
panic, 4, 91
parallel, 4, 39
parrot, 4, 4
parliament, 4, 607
partial, 4, 45
passing, 4, 212
passive, 4, 16
peasant, 4, 9
pavement, 4, 23
peculiar, 4, 10
penalty, 4, 759
perceive, 4, 117
personally, 4, 135
persuade, 4, 120
philosophy, 4, 65
physician, 4, 30
pine, 4, 18
pioneer, 4, 92
pit, 4, 97
pitch, 4, 400
planner, 4, 32
plot, 4, 347
poisonous, 4, 22
pollution, 4, 123
poorly, 4, 42
popularity, 4, 137
porter, 4, 12
portion, 4, 115
portrait, 4, 61
possession, 4, 152
postal, 4, 28
poster, 4, 110
postpone, 4, 110
potential, 4, 814
poverty, 4, 234
preach, 4, 33
precise, 4, 95
preparation, 4, 121
preserve, 4, 120
pressing, 4, 76
previously, 4, 577
primary, 4, 219
primitive, 4, 17
priority, 4, 265
privacy, 4, 262
privilege, 4, 56
procedure, 4, 235
proceed, 4, 116
profitable, 4, 86
prolong, 4, 14
promote, 4, 469
promotion, 4, 145
pronounce, 4, 10
proportion, 4, 93
pronunciation, 4, 19
prose, 4, 6
prospect, 4, 308
prosperity, 4, 56
proudly, 4, 22
province, 4, 473
publication, 4, 230
publicly, 4, 301
puppy, 4, 80
purchase, 4, 444
purely, 4, 30
pursue, 4, 265
pursuit, 4, 92
quantity, 4, 47
quit, 4, 99
radical, 4, 302
rage, 4, 117
rating, 4, 283
rattle, 4, 46
razor, 4, 19
readily, 4, 22
realistic, 4, 73
rear, 4, 69
rebel, 4, 1438
recall, 4, 528
receiver, 4, 77
reception, 4, 76
recognition, 4, 121
recommendation, 4, 102
recording, 4, 182
recovery, 4, 312
reduction, 4, 132
reference, 4, 190
regarding, 4, 153
region, 4, 1317
regularly, 4, 192
rejoice, 4, 7
related, 4, 1097
relatively, 4, 326
relaxed, 4, 63
remark, 4, 233
remarkable, 4, 134
remote, 4, 140
repay, 4, 55
repeated, 4, 172
replacement, 4, 181
representative, 4, 413
republic, 4, 419
reputation, 4, 220
requirement, 4, 142
rescue, 4, 362
resemble, 4, 69
residence, 4, 133
resident, 4, 667
resist, 4, 95
resistance, 4, 193
resolution, 4, 248
resolve, 4, 230
resort, 4, 163
resource, 4, 334
restore, 4, 240
restrain, 4, 32
restraint, 4, 42
retain, 4, 185
retired, 4, 242
reveal, 4, 514
revenge, 4, 112
reverse, 4, 176
rewrite, 4, 28
rifle, 4, 117
ripe, 4, 10
ruling, 4, 430
rural, 4, 153
sacrifice, 4, 62
saint, 4, 102
sadness, 4, 38
salmon, 4, 10
salty, 4, 12
satisfaction, 4, 61
satisfied, 4, 71
scandal, 4, 172
scarcely, 4, 11
scare, 4, 50
scared, 4, 80
scatter, 4, 31
scenery, 4, 15
scent, 4, 9
scheme, 4, 219
scholar, 4, 77
scholarship, 4, 38
scold, 4, 11
scout, 4, 92
scratch, 4, 55
seal, 4, 236
searching, 4, 123
secondary, 4, 104
secretly, 4, 29
sector, 4, 486
secure, 4, 596
seize, 4, 474
sensation, 4, 41
session, 4, 294
settlement, 4, 166
severe, 4, 172
sew, 4, 6
shallow, 4, 24
shelter, 4, 97
shepherd, 4, 21
shield, 4, 93
shift, 4, 429
shocked, 4, 118
shortage, 4, 116
shortly, 4, 287
sidewalk, 4, 34
significant, 4, 605
sin, 4, 79
skier, 4, 41
site, 4, 1021
skip, 4, 53
skillful, 4, 1
sleeve, 4, 33
slim, 4, 65
slipper, 4, 9
smash, 4, 97
snack, 4, 48
snap, 4, 162
software, 4, 378
solution, 4, 329
sooner, 4, 50
sorrow, 4, 23
source, 4, 1073
southeast, 4, 128
southwest, 4, 102
spade, 4, 7
spark, 4, 307
species, 4, 237
spectacle, 4, 56
spill, 4, 150
spiritual, 4, 46
spite, 4, 34
splendid, 4, 7
spokesman, 4, 1095
sponge, 4, 5
sponsor, 4, 251
spoonful, 4, 3
spray, 4, 74
squeeze, 4, 82
stable, 4, 145
stake, 4, 321
stall, 4, 170
stare, 4, 53
steamer, 4, 3
status, 4, 255
starve, 4, 32
steep, 4, 115
stem, 4, 172
stew, 4, 4
sticky, 4, 14
sting, 4, 41
stir, 4, 58
stormy, 4, 18
strain, 4, 138
strangely, 4, 12
strictly, 4, 37
striking, 4, 95
strip, 4, 184
strongly, 4, 196
stylist, 4, 12
submit, 4, 181
substance, 4, 92
suburb, 4, 176
summit, 4, 280
sunflower, 4, 5
surrender, 4, 86
surrounding, 4, 202
survey, 4, 450
sword, 4, 58
sympathetic, 4, 43
tablespoon, 4, 0
tame, 4, 28
task, 4, 348
technological, 4, 58
telling, 4, 248
temptation, 4, 24
tendency, 4, 44
tender, 4, 34
tense, 4, 95
tension, 4, 308
territory, 4, 467
terror, 4, 626
thickly, 4, 2
thirst, 4, 9
thorough, 4, 29
thoroughly, 4, 38
thousandth, 4, 2
thrill, 4, 76
tide, 4, 70
tidy, 4, 8
timely, 4, 29
token, 4, 37
tomb, 4, 48
trace, 4, 115
tractor, 4, 18
trail, 4, 210
trainer, 4, 97
translation, 4, 70
transportation, 4, 186
treatment, 4, 477
treaty, 4, 49
tribe, 4, 103
triple, 4, 185
triumph, 4, 138
tropical, 4, 64
turning, 4, 311
tutor, 4, 6
unclear, 4, 240
uncertain, 4, 59
uncomfortable, 4, 81
underline, 4, 61
undoubtedly, 4, 44
unfortunately, 4, 167
unite, 4, 37
united, 4, 4419
universal, 4, 123
unkind, 4, 2
unlikely, 4, 323
unnecessary, 4, 52
upright, 4, 12
upward, 4, 51
urge, 4, 595
urgent, 4, 90
vain, 4, 18
van, 4, 539
vanilla, 4, 3
vanish, 4, 54
variation, 4, 49
vary, 4, 80
venture, 4, 169
verse, 4, 30
version, 4, 1291
vessel, 4, 134
via, 4, 333
vice, 4, 452
villager, 4, 79
virtue, 4, 24
visible, 4, 98
volunteer, 4, 206
voyage, 4, 33
wander, 4, 19
warmly, 4, 15
warmth, 4, 37
weave, 4, 27
weaken, 4, 155
web, 4, 275
weed, 4, 22
welfare, 4, 99
whip, 4, 39
whisper, 4, 21
wicked, 4, 13
width, 4, 24
wilderness, 4, 22
wildlife, 4, 117
willingly, 4, 9
windy, 4, 18
wink, 4, 7
wisdom, 4, 71
worn, 4, 60
worrying, 4, 64
worthy, 4, 52
yawn, 4, 8
yearly, 4, 23
yield, 4, 200
youngster, 4, 68
youthful, 4, 15
abandon, 5, 110
abandoned, 5, 144
abolish, 5, 35
absurd, 5, 31
abundance, 5, 14
abundant, 5, 13
academy, 5, 345
accidental, 5, 33
accommodation, 5, 43
accomplished, 5, 40
accomplishment, 5, 48
accordingly, 5, 28
accurately, 5, 43
accused, 5, 784
accustom, 5, 0
accustomed, 5, 24
acquaint, 5, 8
acquisition, 5, 117
acute, 5, 32
adventurer, 5, 20
adventurous, 5, 8
advertise, 5, 64
advertising, 5, 195
aggressive, 5, 208
agreeable, 5, 0
agony, 5, 13
aisle, 5, 27
alliance, 5, 242
alert, 5, 224
alligator, 5, 3
ambassador, 5, 307
allowance, 5, 28
animation, 5, 43
annoy, 5, 12
antenna, 5, 20
anticipate, 5, 140
apparatus, 5, 23
appreciation, 5, 39
approximately, 5, 69
arcade, 5, 7
arched, 5, 4
architect, 5, 33
architecture, 5, 33
arena, 5, 217
arithmetic, 5, 3
armed, 5, 474
armor, 5, 32
ascend, 5, 35
assembly, 5, 161
assemble, 5, 75
aspirin, 5, 1
assign, 5, 68
assignment, 5, 44
assumption, 5, 64
astonish, 5, 8
assurance, 5, 41
astonishing, 5, 21
attain, 5, 25
attendant, 5, 41
auto, 5, 198
awareness, 5, 126
awe, 5, 26
awkward, 5, 65
ballet, 5, 18
ballpoint, 5, 1
bang, 5, 74
barn, 5, 5
barrier, 5, 116
beaten, 5, 239
beating, 5, 274
beetle, 5, 6
behalf, 5, 122
belly, 5, 17
belonging, 5, 78
bent, 5, 51
biological, 5, 54
biologist, 5, 29
biology, 5, 64
blaze, 5, 60
blond, 5, 18
blueberry, 5, 5
boredom, 5, 10
borrower, 5, 57
boyhood, 5, 114
bra, 5, 20
bracelet, 5, 18
bravely, 5, 7
breadth, 5, 14
breaker, 5, 26
breathing, 5, 61
brim, 5, 13
broadcasting, 5, 66
broke, 5, 418
bronze, 5, 129
brutal, 5, 152
bug, 5, 49
bulb, 5, 37
bulk, 5, 92
bump, 5, 68
bundle, 5, 62
bureau, 5, 135
burglar, 5, 14
burning, 5, 106
calculation, 5, 61
calf, 5, 58
calorie, 5, 35
candidate, 5, 475
canvas, 5, 25
cape, 5, 145
capitalism, 5, 31
carelessly, 5, 1
capitalist, 5, 35
caring, 5, 37
carve, 5, 45
catcher, 5, 17
cathedral, 5, 32
Catholic, 5, 194
cautious, 5, 72
cease, 5, 226
challenging, 5, 140
cereal, 5, 5
chamber, 5, 137
championship, 5, 912
chaos, 5, 162
charming, 5, 16
chat, 5, 119
charter, 5, 67
chorus, 5, 28
chip, 5, 182
Christianity, 5, 33
circular, 5, 22
cider, 5, 4
civilian, 5, 687
civilization, 5, 61
civilize, 5, 0
clay, 5, 23
click, 5, 171
climax, 5, 23
clover, 5, 0
clue, 5, 80
coconut, 5, 4
coffeehouse, 5, 1
colleague, 5, 319
colonial, 5, 40
colonist, 5, 4
combat, 5, 307
comedian, 5, 177
commander, 5, 313
commitment, 5, 309
commonly, 5, 54
communist, 5, 262
competitive, 5, 269
compose, 5, 8
comprehension, 5, 2
compromise, 5, 166
conceal, 5, 32
conceive, 5, 17
concentrated, 5, 43
condemn, 5, 332
concrete, 5, 120
concept, 5, 198
condense, 5, 23
conductor, 5, 11
confine, 5, 39
confront, 5, 135
confused, 5, 56
confuse, 5, 24
confusing, 5, 27
confusion, 5, 69
congratulations, 5, 21
conqueror, 5, 6
conquest, 5, 8
consensus, 5, 95
consent, 5, 51
consequently, 5, 10
conservation, 5, 77
conservative, 5, 484
considering, 5, 264
consistent, 5, 110
constitute, 5, 50
consult, 5, 78
consultant, 5, 90
consumer, 5, 1091
consume, 5, 84
consumption, 5, 146
contemporary, 5, 75
contempt, 5, 15
continuous, 5, 35
contribute, 5, 737
convert, 5, 262
convey, 5, 60
conviction, 5, 189
cope, 5, 97
cooker, 5, 2
core, 5, 264
copper, 5, 55
corridor, 5, 43
coupon, 5, 10
courageous, 5, 24
cradle, 5, 17
creamy, 5, 4
creativity, 5, 36
cricket, 5, 224
critic, 5, 508
crocodile, 5, 14
crossroad, 5, 14
crosswalk, 5, 3
crucial, 5, 248
cube, 5, 15
cunning, 5, 4
cultivate, 5, 14
cucumber, 5, 2
currency, 5, 550
currently, 5, 715
dairy, 5, 49
daisy, 5, 5
damn, 5, 19
daring, 5, 31
damp, 5, 9
darken, 5, 15
darkly, 5, 2
daylight, 5, 16
deadline, 5, 334
dealing, 5, 177
dearly, 5, 7
decided, 5, 589
declaration, 5, 81
decoration, 5, 10
defect, 5, 76
delightful, 5, 7
democrat, 5, 195
demonstration, 5, 285
dense, 5, 28
depression, 5, 59
deprive, 5, 33
derive, 5, 28
desperate, 5, 107
desperately, 5, 50
despise, 5, 2
destiny, 5, 23
destructive, 5, 51
detect, 5, 149
developer, 5, 214
developed, 5, 381
devote, 5, 20
devotion, 5, 10
dignity, 5, 86
diligent, 5, 6
dim, 5, 43
dine, 5, 10
dinosaur, 5, 51
dip, 5, 117
diplomatic, 5, 329
disappointed, 5, 184
discharge, 5, 31
disco, 5, 11
disgrace, 5, 41
disguise, 5, 41
disgust, 5, 11
disgusting, 5, 13
dishwater, 5, 0
disorder, 5, 66
dispose, 5, 27
dispute, 5, 252
dissolve, 5, 47
distinction, 5, 37
distinctly, 5, 14
distinguished, 5, 18
distress, 5, 42
disturb, 5, 10
divorce, 5, 85
dock, 5, 38
dolphin, 5, 36
dominant, 5, 147
dominate, 5, 339
donkey, 5, 19
doorstep, 5, 17
doubtful, 5, 11
doubtless, 5, 5
dove, 5, 55
downward, 5, 59
drawn, 5, 235
drain, 5, 40
dread, 5, 46
dresser, 5, 1
dressmaker, 5, 0
drier, 5, 7
drip, 5, 7
dwell, 5, 17
dye, 5, 28
dying, 5, 103
eagerly, 5, 26
eagerness, 5, 11
earnest, 5, 93
earning, 5, 796
earthly, 5, 2
Easter, 5, 42
economical, 5, 9
economist, 5, 453
edit, 5, 144
educated, 5, 97
educator, 5, 23
effectively, 5, 193
elective, 5, 3
electronics, 5, 164
elegant, 5, 26
elementary, 5, 28
elite, 5, 229
embarrass, 5, 7
embarrassing, 5, 46
embassy, 5, 285
emotionally, 5, 38
enlarge, 5, 4
ensure, 5, 628
entertainer, 5, 37
environmental, 5, 289
entitle, 5, 66
equality, 5, 77
erase, 5, 50
erect, 5, 29
errand, 5, 3
esteem, 5, 13
eternal, 5, 16
ethnic, 5, 212
evaluate, 5, 66
evaluation, 5, 18
evidently, 5, 19
exaggerate, 5, 32
evolution, 5, 63
exceed, 5, 109
exclaim, 5, 12
excessive, 5, 62
exclude, 5, 122
executive, 5, 1305
exhaust, 5, 13
exhausted, 5, 28
expansion, 5, 242
expedition, 5, 16
experienced, 5, 211
experimental, 5, 46
exploration, 5, 134
facial, 5, 46
extensive, 5, 86
exposure, 5, 94
exterior, 5, 9
facility, 5, 331
fairness, 5, 22
faithfully, 5, 7
famine, 5, 26
fantastic, 5, 194
fantasy, 5, 58
farewell, 5, 12
fascinating, 5, 29
farmhouse, 5, 4
fastener, 5, 0
feast, 5, 30
federal, 5, 773
ferry, 5, 59
fetch, 5, 50
fertile, 5, 32
fierce, 5, 152
fiber, 5, 31
fighter, 5, 1021
finely, 5, 11
flashlight, 5, 8
flatter, 5, 11
flexible, 5, 40
flourish, 5, 32
flu, 5, 77
fluent, 5, 36
foam, 5, 6
folder, 5, 7
footprint, 5, 42
follower, 5, 142
footstep, 5, 32
forbid, 5, 22
forbidden, 5, 39
forced, 5, 680
forehead, 5, 17
forgetful, 5, 0
format, 5, 95
freeway, 5, 10
frequency, 5, 54
freshman, 5, 23
frightening, 5, 25
frown, 5, 12
frozen, 5, 141
fruitful, 5, 14
frustration, 5, 104
fulfill, 5, 74
furnish, 5, 7
gallop, 5, 9
garbage, 5, 27
garment, 5, 29
gaze, 5, 17
generously, 5, 3
gear, 5, 139
genuine, 5, 82
giraffe, 5, 0
gleam, 5, 13
gloomy, 5, 14
glorious, 5, 26
golfer, 5, 68
gown, 5, 38
grab, 5, 242
graceful, 5, 3
graduation, 5, 13
graph, 5, 20
graphic, 5, 54
greenhouse, 5, 67
grieve, 5, 25
grim, 5, 59
grin, 5, 34
grind, 5, 30
groan, 5, 8
grocery, 5, 100
guideline, 5, 64
guitarist, 5, 13
gum, 5, 16
hairdresser, 5, 8
halt, 5, 217
handling, 5, 117
hanger, 5, 4
hardness, 5, 0
hardware, 5, 112
harmless, 5, 10
harmonica, 5, 3
hasten, 5, 10
hastily, 5, 15
hasty, 5, 13
hay, 5, 15
heading, 5, 191
headline, 5, 831
headphone, 5, 3
headquarters, 5, 189
heap, 5, 45
heavenly, 5, 1
hedge, 5, 110
heir, 5, 36
heroine, 5, 5
herd, 5, 38
highlight, 5, 497
hike, 5, 209
hilltop, 5, 11
historian, 5, 60
historic, 5, 244
hitchhike, 5, 10
homesick, 5, 2
honorable, 5, 17
horizontal, 5, 13
horseman, 5, 5
housekeeper, 5, 2
housekeeping, 5, 1
howl, 5, 6
hug, 5, 93
humorous, 5, 25
hurricane, 5, 56
iced, 5, 1
icy, 5, 54
ideally, 5, 11
idiot, 5, 47
illusion, 5, 23
illustrate, 5, 51
imaginary, 5, 8
imaginative, 5, 7
imitation, 5, 105
immensely, 5, 23
immigrant, 5, 220
impatient, 5, 7
imperfect, 5, 10
implement, 5, 237
imply, 5, 41
incline, 5, 1
inclined, 5, 13
independently, 5, 88
incredible, 5, 175
indirect, 5, 33
industrious, 5, 2
infection, 5, 195
inferior, 5, 15
inflation, 5, 494
influential, 5, 94
inhabit, 5, 29
inhabitant, 5, 27
initially, 5, 310
input, 5, 37
inquire, 5, 7
insider, 5, 83
inspect, 5, 38
inspector, 5, 64
install, 5, 135
inspiration, 5, 94
instantly, 5, 41
instructor, 5, 32
insure, 5, 10
interpret, 5, 60
interviewer, 5, 41
invasion, 5, 70
inventor, 5, 23
investor, 5, 945
inward, 5, 11
irony, 5, 28
isolated, 5, 82
ivory, 5, 149
jealously, 5, 6
jog, 5, 3
keyword, 5, 0
killer, 5, 140
knitting, 5, 5
laboratory, 5, 120
laborer, 5, 15
lame, 5, 11
lantern, 5, 3
lark, 5, 5
lastly, 5, 4
leadership, 5, 414
legally, 5, 61
legend, 5, 165
lick, 5, 8
lighter, 5, 49
lighting, 5, 39
likewise, 5, 33
limitation, 5, 34
liquor, 5, 11
listing, 5, 65
literally, 5, 84
liver, 5, 27
lobster, 5, 4
loneliness, 5, 7
loosely, 5, 9
lounge, 5, 28
lump, 5, 19
magnificent, 5, 28
majesty, 5, 15
makeup, 5, 54
mango, 5, 19
manufacturer, 5, 248
margin, 5, 219
marathon, 5, 107
marker, 5, 36
marketing, 5, 245
marking, 5, 108
massive, 5, 412
mat, 5, 38
mattress, 5, 23
mathematical, 5, 9
mechanic, 5, 6
medieval, 5, 18
